Municipio;Bairro;M+B;Lat;Long
VITORIA;UNIVERSITÁRIO;UNIVERSITÁRIO - VITORIA - ES - Brasil;;
VILA VELHA;SANTA PAULA II;SANTA PAULA II - VILA VELHA - ES - Brasil;;
VILA VELHA;CRISTOVÃO COLOMBO;CRISTOVÃO COLOMBO - VILA VELHA - ES - Brasil;;
VILA VELHA;RIVIERA DA BARRA;RIVIERA DA BARRA - VILA VELHA - ES - Brasil;;
VILA VELHA;ARGOLAS;ARGOLAS - VILA VELHA - ES - Brasil;;
VITORIA;DO QUADRO;DO QUADRO - VITORIA - ES - Brasil;;
VITORIA;MARUÍPE;MARUÍPE - VITORIA - ES - Brasil;;
VITORIA;BELA VISTA;BELA VISTA - VITORIA - ES - Brasil;;
VITORIA;GOIABEIRAS;GOIABEIRAS - VITORIA - ES - Brasil;;
SERRA;NOVA CARAPINA I;NOVA CARAPINA I - SERRA - ES - Brasil;;
SERRA;JARDIM ATLÂNTICO;JARDIM ATLÂNTICO - SERRA - ES - Brasil;;
SERRA;MARINGÁ;MARINGÁ - SERRA - ES - Brasil;;
SERRA;BOA VISTA I (NOVA ALMEIDA);BOA VISTA I (NOVA ALMEIDA) - SERRA - ES - Brasil;;
SERRA;HÉLIO FERRAZ;HÉLIO FERRAZ - SERRA - ES - Brasil;;
SERRA;JARDIM TROPICAL;JARDIM TROPICAL - SERRA - ES - Brasil;;
SERRA;BICANGA;BICANGA - SERRA - ES - Brasil;;
SERRA;RESIDENCIAL CENTRO DA SERRA;RESIDENCIAL CENTRO DA SERRA - SERRA - ES - Brasil;;
VILA VELHA;PLANALTO;PLANALTO - VILA VELHA - ES - Brasil;;
VILA VALERIO;CÓRREGO DO TEMA;CÓRREGO DO TEMA - VILA VALERIO - ES - Brasil;;
SERRA;MATA DA SERRA;MATA DA SERRA - SERRA - ES - Brasil;;
SERRA;LAGOA DE CARAPEBUS;LAGOA DE CARAPEBUS - SERRA - ES - Brasil;;
VILA VELHA;VISTA DA PENHA;VISTA DA PENHA - VILA VELHA - ES - Brasil;;
SERRA;SÃO DIOGO I;SÃO DIOGO I - SERRA - ES - Brasil;;
VIANA;RIBEIRA;RIBEIRA - VIANA - ES - Brasil;;
CARIACICA;VASCO DA GAMA;VASCO DA GAMA - CARIACICA - ES - Brasil;;
CARIACICA;SÃO CONRADO;SÃO CONRADO - CARIACICA - ES - Brasil;;
CARIACICA;SANTO ANTÔNIO;SANTO ANTÔNIO - CARIACICA - ES - Brasil;;
CARIACICA;SANTA BARBARA;SANTA BARBARA - CARIACICA - ES - Brasil;;
APIACA;CENTRO;CENTRO - APIACA - ES - Brasil;;
CARIACICA;VILA ISABEL;VILA ISABEL - CARIACICA - ES - Brasil;;
CARIACICA;NOVO JARDIM ;NOVO JARDIM  - CARIACICA - ES - Brasil;;
CARIACICA;MARACANÃ;MARACANÃ - CARIACICA - ES - Brasil;;
